Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lab02_TestCaseLogin,Chrome 85.0.4183.121,,,2020-09-30 16:12:49,2020-09-30 16:14:00,1m - 11.910s,PASSED
,,,,,,,
Test Cases/Check login with wrong Username and Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với tên tài khoản và mật khẩu đều sai,,2020-09-30 16:12:49,2020-09-30 16:13:06,17.344s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 16:12:50,2020-09-30 16:12:56,6.364s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 16:12:56,2020-09-30 16:13:00,3.246s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:00,2020-09-30 16:13:00,0.649s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:00,2020-09-30 16:13:02,1.293s,PASSED
"setText(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 16:13:02,2020-09-30 16:13:02,0.945s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/input_Password_password""), ""wl0LvoOtaVwzypN4kraLMF7jpm206SQJ"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:02,2020-09-30 16:13:03,0.869s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:03,2020-09-30 16:13:05,1.237s,PASSED
"waitForElementPresent(findTestObject(""Wrong_Username_And_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 16:13:05,2020-09-30 16:13:05,0.463s,PASSED
"verifyElementText(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 16:13:05,2020-09-30 16:13:05,0.448s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 16:13:05,2020-09-30 16:13:06,0.915s,PASSED
,,,,,,,
Test Cases/Check login with wrong Username and correct Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với sai tên tài khoản và đúng mật khẩu,,2020-09-30 16:13:06,2020-09-30 16:13:20,13.207s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 16:13:07,2020-09-30 16:13:10,3.507s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:10,2020-09-30 16:13:13,3.106s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:13,2020-09-30 16:13:14,0.463s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:14,2020-09-30 16:13:15,1.135s,PASSED
"setText(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 16:13:15,2020-09-30 16:13:16,0.911s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/input_Password_password""), ""PZQwh3QeQDDcirbK8Iu+E413IX9ElTWk"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:16,2020-09-30 16:13:17,0.618s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:17,2020-09-30 16:13:18,1.211s,PASSED
"waitForElementPresent(findTestObject(""Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 16:13:18,2020-09-30 16:13:18,0.435s,PASSED
"verifyElementText(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 16:13:18,2020-09-30 16:13:19,0.400s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 16:13:19,2020-09-30 16:13:20,0.942s,PASSED
,,,,,,,
Test Cases/Check login with correct Username and wrong Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với đúng tên tài khoản và sai mật khẩu,,2020-09-30 16:13:20,2020-09-30 16:13:35,15.332s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 16:13:20,2020-09-30 16:13:24,3.410s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:24,2020-09-30 16:13:28,4.444s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:28,2020-09-30 16:13:29,0.552s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:29,2020-09-30 16:13:30,1.179s,PASSED
"setText(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 16:13:30,2020-09-30 16:13:31,0.817s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/input_Password_password""), ""ib8hrRQklRUkn3gfaSQjLg=="")",Chrome 85.0.4183.121,,,2020-09-30 16:13:31,2020-09-30 16:13:31,0.607s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:31,2020-09-30 16:13:33,1.229s,PASSED
"waitForElementPresent(findTestObject(""Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 16:13:33,2020-09-30 16:13:33,0.413s,PASSED
"verifyElementText(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 16:13:33,2020-09-30 16:13:33,0.398s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 16:13:33,2020-09-30 16:13:35,1.633s,PASSED
,,,,,,,
Test Cases/Check login with correct Username and Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với tên tài khoản và mật khẩu đều đúng,,2020-09-30 16:13:35,2020-09-30 16:13:48,12.620s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 16:13:35,2020-09-30 16:13:39,3.513s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:39,2020-09-30 16:13:42,3.167s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:42,2020-09-30 16:13:43,1.070s,PASSED
"setText(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 16:13:43,2020-09-30 16:13:44,0.869s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:44,2020-09-30 16:13:45,0.588s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:45,2020-09-30 16:13:46,1.265s,PASSED
"waitForElementPresent(findTestObject(""Correct_Username_And_Password/Page_CURA Healthcare Service/h2_Make Appointment""), 30)",Chrome 85.0.4183.121,,,2020-09-30 16:13:46,2020-09-30 16:13:46,0.447s,PASSED
"verifyElementText(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:46,2020-09-30 16:13:47,0.384s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 16:13:47,2020-09-30 16:13:48,0.809s,PASSED
,,,,,,,
Test Cases/Check login with all empty fields,Chrome 85.0.4183.121,Kiểm tra đăng nhập với tên tài khoản và mật khẩu để trống,,2020-09-30 16:13:48,2020-09-30 16:14:00,12.846s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 16:13:48,2020-09-30 16:13:52,3.514s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 16:13:52,2020-09-30 16:13:56,4.440s,PASSED
"click(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:56,2020-09-30 16:13:56,0.473s,PASSED
"click(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:56,2020-09-30 16:13:58,1.148s,PASSED
"click(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 16:13:58,2020-09-30 16:13:59,1.230s,PASSED
"waitForElementPresent(findTestObject(""All_Empty_Fields/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 16:13:59,2020-09-30 16:13:59,0.383s,PASSED
"verifyElementText(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 16:13:59,2020-09-30 16:14:00,0.392s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 16:14:00,2020-09-30 16:14:00,0.779s,PASSED
